timestamp	delay_ms	delay_smooth
1761758190419972	46.666	42.322
1761758190427601	42.252	42.066
1761758190438851	41.400	41.694
1761758190449123	39.170	41.749
1761758190466360	44.533	42.340
1761758190476758	42.675	42.690
1761758190486710	40.204	42.501
1761758190501799	42.453	42.620
1761758190518444	46.325	43.126
1761758190526708	41.226	43.652
1761758190543202	44.770	43.396
1761758190554617	43.447	43.221
1761758190569724	46.460	42.953
1761758190579943	44.423	42.737
1761758190589549	41.974	42.525
1761758190600710	40.928	42.799
1761758190609808	37.520	42.984
1761758190625246	40.294	43.099
1761758190641682	44.204	42.918
1761758190653432	43.971	43.049
1761758190668113	46.615	43.204
1761758190678491	44.601	43.342
1761758190690932	44.652	43.731
1761758190704752	45.730	43.479
1761758190714861	43.523	43.059
1761758190725715	42.313	43.080
1761758190737187	41.407	42.715
1761758190746165	37.772	42.217
1761758190761356	40.011	41.482
1761758190777667	44.171	40.919
1761758190788489	42.967	41.015
1761758190797482	39.620	41.093
1761758190807716	37.308	41.561
1761758190823239	40.093	43.496
1761758190840073	44.486	44.503
1761758190850577	43.097	44.531
1761758190865690	46.089	44.448
1761758190889027	57.116	44.577
1761758190894775	50.084	44.842
1761758190901551	44.451	44.498
1761758190911219	42.135	44.691
1761758190922002	40.909	44.676
1761758190933435	39.956	44.367
1761758190942748	36.653	43.443
1761758190965122	46.415	42.850
1761758190974031	42.954	42.687
1761758190986188	43.000	42.468
1761758191003050	47.874	42.200
1761758191011516	44.149	42.358
1761758191022282	42.828	43.104
1761758191031593	39.943	42.820
1761758191042453	38.224	42.656
1761758191058511	41.535	42.260
1761758191073601	44.121	41.102
1761758191084985	43.576	41.145
1761758191094761	41.308	41.099
1761758191104706	39.040	41.240
1761758191114700	36.296	41.414
1761758191135518	44.584	40.948
1761758191145318	42.368	40.659
1761758191156335	41.345	40.709
1761758191167254	39.972	40.925
1761758191176777	36.872	41.801
1761758191193762	41.226	42.652
1761758191209041	44.084	42.485
1761758191220384	43.464	42.354
1761758191236709	47.797	42.057
1761758191246023	44.811	42.097
1761758191256186	42.906	42.756
1761758191266558	41.068	42.962
1761758191276351	38.368	42.590
1761758191291107	40.377	42.204
1761758191306820	43.457	41.085
1761758191318607	43.284	41.073
1761758191327671	40.369	41.014
1761758191339260	39.598	41.110
1761758191349004	36.613	41.420
1761758191369571	44.692	41.223
1761758191379504	42.316	40.994
1761758191391232	42.028	40.998
1761758191402925	41.465	41.150
1761758191412389	38.404	41.363
1761758191427768	41.172	41.583
1761758191442284	43.323	41.364
1761758191452753	41.884	41.647
1761758191464788	41.731	41.691
1761758191474255	38.818	41.593
1761758191490875	42.504	41.644
1761758191505860	45.136	41.776
1761758191515349	42.473	41.987
1761758191525481	40.489	42.135
1761758191536267	38.911	42.345
1761758191552605	42.486	42.546
1761758191568270	45.435	42.051
1761758191578199	43.366	41.491
1761758191590695	43.833	41.537
1761758191599947	40.828	41.663
1761758191609276	37.552	42.297
1761758191623970	39.534	42.208
1761758191639893	42.936	41.756
1761758191651584	41.744	41.222
1761758191667768	45.261	40.908
1761758191676035	41.588	41.209
1761758191687606	40.916	41.795
1761758191697040	38.025	42.077
1761758191712468	40.693	41.727
1761758191728095	43.839	41.249
1761758191739902	43.415	40.870
1761758191750847	42.353	41.095
1761758191760247	39.434	41.100
1761758191770384	36.963	41.256
1761758191787763	41.475	40.928
1761758191802316	43.839	40.569
1761758191811434	40.968	41.278
1761758191822321	39.583	41.425
1761758191832680	37.409	43.229
1761758191848293	40.253	44.372
1761758191870730	50.506	44.263
1761758191876052	43.822	43.667
1761758191877701	57.477	43.658
1761758191880619	48.389	44.056
1761758191884741	40.383	44.718
1761758191894665	37.882	44.880
1761758191910353	40.877	43.826
1761758191925743	43.567	43.341
1761758191938189	44.025	42.297
1761758191948093	41.868	41.878
1761758191958499	39.966	42.167
1761758191970221	38.973	42.420
1761758191990816	47.036	42.161
1761758192000321	44.201	41.835
1761758192011309	43.280	41.376
1761758192020646	40.403	41.432
1761758192031133	38.290	42.054
1761758192046071	40.304	42.412
1761758192057801	39.438	41.778
1761758192073759	42.430	41.361
1761758192089939	46.184	41.205
1761758192098418	42.556	41.907
1761758192108723	40.693	42.486
1761758192120449	40.035	42.758
1761758192134771	41.715	42.765
1761758192152899	47.428	42.248
1761758192161731	44.077	41.739
1761758192172634	43.021	42.002
1761758192181442	39.515	42.164
1761758192191853	37.256	42.145
