time_s	time_ms	time_ms_smooth
19.090	31.881	30.924
19.132	31.445	30.894
19.134	31.609	30.941
19.147	29.854	31.181
19.189	32.222	31.764
19.192	31.629	31.725
19.208	32.978	31.697
19.250	30.573	31.723
19.264	30.848	31.753
19.307	32.366	31.818
19.309	31.622	31.757
19.323	30.460	31.784
19.366	30.196	31.773
19.381	30.552	31.676
19.422	30.573	31.610
19.431	36.484	31.577
19.455	46.083	31.648
19.483	29.394	31.585
19.498	30.692	31.587
19.539	30.387	31.507
19.543	31.639	31.574
19.557	30.757	31.581
19.598	29.382	31.498
19.600	29.957	31.456
19.616	30.735	31.503
19.655	29.464	31.519
19.660	29.796	31.569
19.676	30.771	31.525
19.718	31.628	31.277
19.721	30.666	30.688
19.736	31.661	30.735
19.777	30.980	30.678
19.780	32.251	30.682
19.793	31.020	30.687
19.832	30.306	30.638
19.835	30.554	30.711
19.851	31.640	30.840
19.892	30.594	30.789
19.908	31.818	30.836
19.947	29.465	30.827
19.949	30.294	30.850
19.965	31.337	30.844
20.007	30.583	30.784
20.020	29.264	30.699
20.064	30.476	30.698
20.079	31.783	30.724
20.119	29.513	30.686
20.122	31.219	30.755
20.138	33.173	30.742
20.176	29.463	30.705
20.178	30.647	30.755
20.191	29.563	30.692
20.234	31.347	30.711
20.236	31.478	30.732
20.248	29.181	30.650
20.291	29.538	30.642
20.293	30.949	30.751
20.309	32.905	30.866
20.348	30.058	30.764
20.351	32.024	30.799
20.364	30.229	30.838
20.406	30.730	30.762
20.409	31.848	30.895
20.421	30.222	30.857
20.463	29.963	30.921
20.465	30.809	30.830
20.478	29.293	30.799
20.521	30.370	30.916
20.526	31.986	30.959
20.542	33.360	30.954
20.579	29.242	30.963
20.582	30.388	30.985
20.599	32.196	30.997
20.641	31.271	31.005
20.657	32.768	31.040
20.697	29.706	31.075
20.712	31.159	31.042
20.751	29.088	31.057
20.755	30.692	30.983
20.770	32.106	31.036
20.810	30.623	31.096
20.812	30.811	30.970
20.829	33.145	30.839
20.869	30.595	30.921
20.885	32.325	30.929
20.925	30.435	30.931
20.927	31.603	30.893
20.943	32.713	30.855
20.981	29.408	30.828
20.983	30.336	30.798
20.996	28.951	30.881
21.041	30.630	30.851
21.056	31.858	30.763
21.095	28.837	30.797
21.098	30.099	30.789
21.113	31.270	30.633
21.156	30.599	30.774
21.172	32.249	30.758
21.213	30.325	30.743
21.229	31.821	30.731
21.267	29.019	30.733
21.270	30.413	30.788
21.285	31.173	30.879
21.325	29.926	30.950
21.327	29.904	30.979
21.343	31.477	30.973
21.384	30.609	31.018
21.397	29.252	31.034
21.445	34.130	31.067
21.457	31.913	31.039
21.497	30.059	30.946
21.500	31.303	31.028
21.515	32.768	31.014
21.555	30.784	31.097
21.558	32.596	31.192
21.570	30.736	31.176
21.611	31.350	31.250
21.614	31.721	31.325
21.627	29.963	31.335
21.669	30.497	31.391
21.672	32.088	31.511
21.684	29.899	31.360
21.726	29.920	31.378
21.729	32.379	31.514
21.743	31.470	31.553
21.783	31.101	31.480
21.787	32.771	31.538
21.799	30.792	31.472
21.841	31.760	31.479
21.843	31.780	31.509
21.857	31.731	31.439
21.898	32.012	31.029
21.901	32.249	30.579
21.913	30.357	30.026
21.957	32.353	29.302
21.959	33.467	28.580
21.972	32.285	27.687
22.012	30.934	26.622
22.015	32.228	25.573
22.028	30.954	24.469
22.070	30.914	23.448
22.086	32.103	22.403
22.097	29.967	21.351
22.129	19.724	20.277
22.130	19.225	19.193
22.143	18.263	18.111
22.178	11.799	17.081
22.180	11.870	15.964
22.192	10.057	14.826
22.229	4.847	13.749
22.230	4.877	12.708
22.244	5.165	11.605
22.286	5.281	10.566
22.287	5.629	9.511
22.301	5.484	8.505
22.342	4.880	7.551
22.343	4.913	6.975
22.357	5.209	6.404
22.399	4.587	5.881
22.413	4.443	5.622
22.455	5.023	5.353
22.456	5.338	5.192
22.470	4.922	5.217
22.511	4.641	5.210
22.515	4.990	5.198
22.530	4.540	5.162
22.574	6.956	5.118
22.575	6.115	5.089
22.588	5.330	5.088
22.628	4.949	5.085
22.630	5.190	5.091
22.644	5.306	5.120
22.685	5.141	5.129
22.687	6.032	5.132
22.700	5.490	5.150
22.741	4.702	5.145
22.755	4.858	5.171
22.797	4.385	5.172
22.811	4.518	5.196
22.853	4.769	5.136
22.867	4.860	5.107
22.909	4.820	5.081
22.923	5.363	5.100
22.937	5.318	5.109
22.978	4.678	5.094
22.979	5.087	5.087
22.993	5.795	5.026
23.034	4.794	5.002
23.035	5.281	5.021
23.049	5.011	5.008
23.090	5.157	5.026
23.091	5.455	5.092
23.105	5.381	5.117
23.146	4.675	5.273
23.147	5.439	7.063
23.161	5.398	7.200
23.202	4.932	7.408
23.216	4.983	7.789
23.258	4.493	8.007
23.272	4.905	8.466
23.314	5.182	8.457
23.328	4.524	8.431
23.369	4.841	8.434
23.372	6.150	8.428
23.385	5.407	8.410
23.429	8.752	8.411
23.429	49.563	8.439
23.429	8.802	8.458
23.434	10.508	8.446
23.434	14.203	8.433
23.434	10.545	8.444
23.457	17.257	8.499
23.486	4.574	8.498
23.487	4.650	8.510
23.501	5.071	8.549
23.542	5.017	8.579
23.543	4.995	8.564
23.557	5.400	8.571
23.599	5.380	8.417
23.600	5.912	6.635
23.613	5.093	6.508
23.654	4.615	6.274
23.655	5.261	5.923
23.669	5.862	5.723
23.710	4.895	5.231
23.711	5.477	5.248
23.725	5.490	5.275
23.767	5.597	5.263
23.769	5.770	5.249
23.783	5.587	5.253
23.824	4.890	5.236
23.825	5.028	5.218
23.841	5.612	5.202
23.881	4.668	5.174
23.885	5.421	5.200
23.899	5.546	5.208
23.940	4.959	5.193
23.941	4.995	5.208
23.955	5.324	5.194
23.996	4.775	5.174
23.997	4.665	5.158
24.011	5.112	5.119
24.053	4.968	5.097
24.054	4.927	5.099
24.069	5.517	5.104
24.110	4.380	5.058
24.125	5.270	5.079
24.167	5.458	5.059
24.167	5.506	5.043
24.181	5.253	5.049
24.222	5.121	5.376
24.223	5.013	7.394
24.237	5.174	7.753
24.279	4.818	9.821
24.280	5.037	10.190
24.294	4.930	10.650
24.335	5.159	11.076
24.336	4.456	13.194
24.351	5.199	13.675
24.392	4.908	13.651
24.393	5.159	13.618
24.407	5.106	13.597
24.457	13.162	13.608
24.458	55.778	13.595
24.458	13.752	13.577
24.458	56.368	13.586
24.459	14.333	13.591
24.460	16.468	13.594
24.460	15.563	13.612
24.460	58.476	13.588
24.461	16.417	13.633
24.463	4.649	13.635
24.505	4.657	13.654
24.506	4.959	13.642
24.520	5.545	13.626
24.561	4.799	13.280
24.562	4.549	11.261
24.577	5.392	10.908
24.618	4.966	8.855
24.619	5.107	8.477
24.633	5.381	8.039
24.675	4.546	7.649
24.690	5.591	5.527
24.731	5.249	5.060
24.732	5.382	5.069
24.746	4.852	5.097
24.787	4.712	5.107
24.788	4.520	5.118
24.803	5.280	5.128
24.844	4.931	5.156
24.845	5.056	5.163
24.859	4.871	5.189
24.902	5.528	5.183
24.902	5.804	5.158
24.916	5.439	5.163
24.957	4.738	5.151
